"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"39070","817","Pin","","Mus. London,Brentford Public Library,Layton Colln.,O 1492.","locality unknown","",,,"","None","None","None","146","3.25","","","","smooth, corroded in places. Dark golden bronze.","3.5","Width shows ""head end 3.25"". Thickness shows ""head end 3.5"".","","","Pin of round section.,Head is missing.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17933468322","https://farm8.staticflickr.com/7692/17933468322_529b1c0d4c_m.jpg"
"39071","433","Pin","","Mus. London,Brentford Public Library,Layton Collection, 01488","Locality unknown","","8.227511999999933","46.818188","","None","None","None","189","head 6; pin slightly over 3","","","Dark brown, chipped off at head end.","Smooth","pin 3","","","","Sharp point.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17936537815","https://farm6.staticflickr.com/5326/17936537815_6f4f9ca8dd_m.jpg"
"39071","580","Pin","","Mus. London,Brentford Public Library,Layton Collection 01488.","locality unknown","",,,"","None","None","None","189","head 6; pin slightly over 3","","","dark brown. chipped off at head end.","smooth","pin 3","","","","Sharp point.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17936537815","https://farm6.staticflickr.com/5326/17936537815_6f4f9ca8dd_m.jpg"
"39071","817","Pin","","Mus. London,,Brentford Public Library,Layton Colln.,O 1488.","locality unknown","",,,"","None","None","None","189","6","","","dark brown. chipped off at head end.","smooth","3","Width shows ""head 6.  pin slightly over 3."" Thickness shows ""pin 3"".","","","Sharp point.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17936537815","https://farm6.staticflickr.com/5326/17936537815_6f4f9ca8dd_m.jpg"
"39072","433","Pin","","Private Collection,F. Ransom, Esq., Hitchin","","","8.227511999999933","46.818188","","None","None","None","108","head 6","","5.31","No patina.","Old gold colour, smooth.","2.5","","","","Another of very similar style but with plain head + 118mm long from Yverdon 1889, weighing 3.54 gms.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17937196891","https://farm6.staticflickr.com/5342/17937196891_d8517d0216_m.jpg"
"39072","580","Pin","","Private Collection,F. Ransom Esq., Hitchin.","","",,,"","None","None","None","108","head 6","","5.31","no patina.","Old gold colour, smooth.","2.5","","","","Another of very similar style but with plain head & 118 mm long from Yverdon 1889, wheighing 3.54 gms.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17937196891","https://farm6.staticflickr.com/5342/17937196891_d8517d0216_m.jpg"
"39072","817","Pin","","Private,F. Ransom Esq.,Hitchins.","","",,,"","None","None","None","108","6","","5.31","no","Old gold colour, smooth","2.5","Width shows ""head 6mm"".","","","Another of very similar style but with plain head & 118mm long from Yverdon 1889, weighing 3.54gms.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17937196891","https://farm6.staticflickr.com/5342/17937196891_d8517d0216_m.jpg"
"39073","433","Knife","","Brentford Public Library,Layton Collection, 01274","Locality unknown","","8.227511999999933","46.818188","","None","None","None","147","18","","","No patina.","Dark brown bronze: smooth.","blade 3.25","","","","Very coppery. Edges are thinnest at curved top; this seems to have been the cutting edge. A - very slightly raised on this face only.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17910189506","https://farm9.staticflickr.com/8829/17910189506_78b456be11_m.jpg"
"39073","580","Knife","","Brentford Public Library,Layton Collection 0 1274.","locality unknown","",,,"","None","None","None","147","18","","","no patina","dark brown bronze; smooth.","blade 3.25","","","","Very coppery. Edges are thinnest at curved top; this seems to have been the cutting edge. A - very slightly raised on this face only.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17910189506","https://farm9.staticflickr.com/8829/17910189506_78b456be11_m.jpg"
"39073","817","Knife","",",Brentford Public Library,Layton Colln.,O 1274.","locality unknown.","",,,"","None","None","None","147","18","","","no","dark brown bronze; smooth","3.25","Thickness shows ""blade 3.25"".","","","Very coppery. Edges are thinnest at curved top; this seems to have been the cutting edge.,A -- very slightly raised on this face only.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17910189506","https://farm9.staticflickr.com/8829/17910189506_78b456be11_m.jpg"
"39074","433","Dagger","","Sotheby's Sale 31.7.23,(Mrs. Randolphe Berens), Lot 96,14 Princes Gdns, SW","Locality unknown","","8.227511999999933","46.818188","","None","None","None","296","blade 44.5; hilt 48, 45, 52.5","","213","Matte mottled green","Smooth","blade 4; hilt 14.5","","","","Hilt end is of Ivory - a dull light brown colour. In middle of hilt are 3 panels of wood or horn, these are almost black.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17748770938","https://farm6.staticflickr.com/5343/17748770938_182f15c06d_m.jpg"
"39074","580","Dagger","","Sotheby's Sale 31. 7. 23. Lot 96.,(Mrs. Randolph Berens, 14 Princes Gdns, SW.)","locality unknown","",,,"","None","None","None","296","blade 44.5,hilt 48; 45; 52.5","","213","matte mottled green","smooth","blade 4; hilt 14.5","","","","Hilt end is of Ivory - a dull light brown colour. In middle of hilt are 3 panels of wood or horn. these are almost black.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17748770938","https://farm6.staticflickr.com/5343/17748770938_182f15c06d_m.jpg"
"39074","817","Dagger.","","Sotheby's 31.7.23.,Sale (Mrs Randolph Berens) Lot 96.,14 Princes Gdns. SW","locality unknown.","",,,"","None","None","None","296","44.5","","213","matte mottled green","smooth","4","Width shows ""blade 44.5.  hilt 48, 45, 52.5"". Thickness shows ""blade 4  hilt 14.5"".","","","Hilt end is of Ivory -- a dull light brown colour. In middle of hilt are 3 panels of wood or horn.,these are almost black.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17748770938","https://farm6.staticflickr.com/5343/17748770938_182f15c06d_m.jpg"
"39075","433","Tanged Dagger","","Sotheby's Sale, 12.xi.28,Lot No. 346, 3 Daggers,Vendor, a Nobleman","","","8.227511999999933","46.818188","","None","None","None","205","30","","81.58","","","5","Weight: 2 oz. 16 dwt = 81.582 gms","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17749034570","https://farm9.staticflickr.com/8819/17749034570_a3160ff70d_m.jpg"
"39075","580","Tanged Dagger","","Sotheby's Sale 12. xi. 28.,Lot No. 346, 3 Daggers. Vendor, a Nobleman.","?","",,,"","None","None","None","205","30","","[...]","","","5","Weight: couldn't understand more than 2 oz. so I left it. Sorry for that.","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17749034570","https://farm9.staticflickr.com/8819/17749034570_a3160ff70d_m.jpg"
"39075","817","Tagned Dagger","","Sotheby's Sale, 12.xi.28.,Lot No. 346, 3 Daggers.,Vendor, a Nobleman.","?","",,,"","None","None","None","205","30","","56.7","","","5","Weight shows ""2oz. 16 dest."", , Note that weight entered in Weight field is gram equivalent of two ounces.","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17749034570","https://farm9.staticflickr.com/8819/17749034570_a3160ff70d_m.jpg"
"39076","433","Tanged Dagger","","Sotheby's Sales, 12.xi.28,Lot No. 346 - 3 daggers,Vendor, a Nobleman","","","8.227511999999933","46.818188","","None","None","None","157","25","","56.7","","","6","Weight: 2 oz = 56.699 gms","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17749041860","https://farm6.staticflickr.com/5464/17749041860_c761a2df70_m.jpg"
"39076","580","Tanged Dagger","","Sotheby's Sale 12. xi. 28.,Lot No. 346, 3 daggers.,Vendor, a Nobleman.","?","",,,"","None","None","None","157","25","","56.69905","","","6","Weight: 2 oz.","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17749041860","https://farm6.staticflickr.com/5464/17749041860_c761a2df70_m.jpg"
"39076","817","Tanged Dagger","","Sotheby's Sale, 12.xi.28.,Lot No. 346, 3 Daggers.,Vendor, a Nobleman.","?","",,,"","None","None","None","157","25","","56.7","","","6","Weight shows ""2oz.""","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17749041860","https://farm6.staticflickr.com/5464/17749041860_c761a2df70_m.jpg"
"39077","433","Dagger","","Sotheby's Sale, 31.7.23,(Mrs. Randolph Berens), Lot 96,14 Princes Gdns., SW","Locality unknown","","8.227511999999933","46.818188","","None","None","None","227","blade 21, 43.5; hilt 50","","99.22","Dark brown matte.","Slightly rough - a little encrustment. Very coppery in appearance.","19 hilt; 3.5 blade","","","","The hilt consists of ivory + wood, in which are 11 rivets.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17937280681","https://farm6.staticflickr.com/5451/17937280681_8ec182ac9b_m.jpg"
"39077","580","Dagger","","Sotheby's Sale 31. 7. 23. Lot 96.,(Mrs. Randolph Berens, 14 Princes Gdns, SW.)","locality unknown","",,,"","None","None","None","227","blade 21; 43.5,hilt 50","","99.22","dark brown matte.","slightly rough. a little encrustment. Very coppery appearance.","hilt 19; blade 3.5","","","","The hilt consists of ivory & wood, in which are 11 rivets.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17937280681","https://farm6.staticflickr.com/5451/17937280681_8ec182ac9b_m.jpg"
"39077","817","Dagger.","","Sotheby’s,31.7.23,Sale (Mrs Randolph Berens Lot 96.,14 Princes Gdns, SW.","locality unknown","",,,"","None","None","None","227","21","","99.22","dark brown matte","slightly rough -- a little encrustment,Very coppery in appearance","3.5","Width shows ""blade 21.  43.5  hilt 50."" Thickness ""19 hilt.  3.5 blade"".","","","The hilt consists of ivory & wood, in which are 11 rivets.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17937280681","https://farm6.staticflickr.com/5451/17937280681_8ec182ac9b_m.jpg"
"39078","433","Axe","","Mr. C. Martins,George Rd. Edgbaston","Locality unknown","","8.227511999999933","46.818188","","None","None","None","137","edge 103","","","Dark Bronze-Green","Smooth but considerably ""bellied""","","Seems to be duplicate card.","Bronze","","","","See Windle pp. 94-95, Fig. 30","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17316163053","https://farm8.staticflickr.com/7748/17316163053_368cf22682_m.jpg"
"39078","580","Axe","","Mr. C. Martin, George Rd., Edgbaston","locality unknown","",,,"","None","None","None","137","edge 103","","","","Dark Bronze-green","","","Bronze","","smooth but considerably ""bellied""","","See Windle pp. 94-95, Fig. 39","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17316163053","https://farm8.staticflickr.com/7748/17316163053_368cf22682_m.jpg"
"39078","817","Axe.","","W.C. Martins,,George Rv. Edgbaston","Locality unknown.","",,,"","None","None","None","137","103","","","Dark Bronze-Green","Smooth but considerably ""bellied""","","Width shows ""(edge) 103mm;"".","Bronze","","","See Windle pp 94, 95,Fig 39","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17316163053","https://farm8.staticflickr.com/7748/17316163053_368cf22682_m.jpg"
"39079","433","Axe","","Private Collection,F. Ransom Esq., Hitchin","","","8.227511999999933","46.818188","","None","None","None","139.5","edge 106; stem 18; socket 36","","590.85","Dark green rough patina shows where encrustment is chipped, near edge at one side.","Rough + much encrusted - light greyis green + rust colour.","socket 35","Seems to be repeat card.","","","Decorated with a hollowed pattern on each side. Socket is full of clay + some in hollows of decoration.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17316168833","https://farm9.staticflickr.com/8870/17316168833_38a150f0f8_m.jpg"
